georeference,ada_notes,ada,south_direction_label,north_direction_label,gtfs_longitude,gtfs_latitude,structure,daytime_routes,borough,stop_name,line,division,gtfs_stop_id,complex_id,station_id
POINT (-73.967258 40.76266),,0,Downtown & Brooklyn,Queens,-73.967258,40.76266,Subway,N R W,M,Lexington Av/59 St,Astoria,BMT,R11,613,7
POINT (-73.876613 40.748408),,0,Manhattan,Flushing,-73.876613,40.748408,Elevated,7,Q,90 St-Elmhurst Av,Flushing,IRT,708,452,452
POINT (-73.988114 40.718611),,0,Downtown & Brooklyn,Uptown & Queens,-73.988114,40.718611,Subway,F,M,Delancey St-Essex St,6th Av - Culver,IND,F15,625,233
POINT (-73.975375 40.687119),,0,Church Av,Queens,-73.975375,40.687119,Subway,G,Bk,Fulton St,Crosstown,IND,G36,292,292
POINT (-73.96411 40.807722),,0,Downtown,Uptown & The Bronx,-73.96411,40.807722,Subway,1,M,116 St-Columbia University,Broadway - 7Av,IRT,117,307,307
POINT (-73.776013 40.592943),,0,Far Rockaway,Manhattan,-73.776013,40.592943,Viaduct,A,Q,Beach 44 St,Rockaway,IND,H08,206,206
POINT (-73.985026 40.61741),,0,Coney Island,Manhattan,-73.985026,40.61741,Open Cut,N,Bk,20 Av,Sea Beach,BMT,N06,75,75
POINT (-73.979917 40.783934),,0,Downtown,Uptown & The Bronx,-73.979917,40.783934,Subway,1,M,79 St,Broadway - 7Av,IRT,122,312,312
POINT (-73.877223 40.737015),,0,Manhattan,Forest Hills,-73.877223,40.737015,Subway,M R,Q,Grand Av-Newtown,Queens Blvd,IND,G12,265,265
POINT (-73.917843 40.770258),,1,Manhattan,Astoria - Ditmars Blvd,-73.917843,40.770258,Elevated,N W,Q,Astoria Blvd,Astoria,BMT,R03,2,2
POINT (-73.887734 40.837288),,0,Manhattan,Wakefield - Eastchester,-73.887734,40.837288,Elevated,2 5,Bx,174 St,Lenox - White Plains Rd,IRT,215,428,428
POINT (-73.979678 40.644041),,1,Coney Island,Manhattan,-73.979678,40.644041,Subway,F G,Bk,Church Av,6th Av - Culver,IND,F27,243,243
POINT (-73.99073 40.734789),,1,Brooklyn,8 Av,-73.99073,40.734789,Subway,L,M,14 St-Union Sq,Canarsie,BMT,L03,602,117
POINT (-74.004131 40.713065),,1,Downtown & Brooklyn,Uptown & The Bronx,-74.004131,40.713065,Subway,4 5 6,M,Brooklyn Bridge-City Hall,Lexington Av,IRT,640,622,411
POINT (-73.901975 40.669367),,0,Canarsie - Rockaway Parkway,Manhattan,-73.901975,40.669367,Elevated,L,Bk,Sutter Av,Canarsie,BMT,L25,134,134
POINT (-73.891688 40.678024),,0,Manhattan,Jamaica,-73.891688,40.678024,Elevated,J Z,Bk,Van Siclen Av,Jamaica,BMT,J23,90,90
POINT (-73.95107 40.785672),,0,Downtown,Uptown & The Bronx,-73.95107,40.785672,Subway,6,M,96 St,Lexington Av,IRT,625,396,396
POINT (-73.903097 40.675345),,0,Canarsie - Rockaway Parkway,Manhattan,-73.903097,40.675345,Elevated,L,Bk,Atlantic Av,Canarsie,BMT,L24,133,133
POINT (-73.883697 40.747659),,0,Manhattan,Flushing,-73.883697,40.747659,Elevated,7,Q,82 St-Jackson Hts,Flushing,IRT,709,453,453
POINT (-73.898583 40.889248),,0,Manhattan,,-73.898583,40.889248,Elevated,1,Bx,Van Cortlandt Park-242 St,Broadway - 7Av,IRT,101,293,293
POINT (-73.942836 40.754203),,1,Manhattan,Jamaica,-73.942836,40.754203,Subway,F,Q,21 St-Queensbridge,63rd St,IND,B04,221,221
POINT (-73.995476 40.631435),,0,Coney Island,Manhattan,-73.995476,40.631435,Elevated,D,Bk,55 St,West End,BMT,B15,62,62
POINT (-73.816859 40.702566),,1,Manhattan,Jamaica Center,-73.816859,40.702566,Subway,E,Q,Jamaica-Van Wyck,Queens - Archer,IND,G07,280,280
POINT (-73.955589 40.779492),Uptown & The Bronx local only,2,Downtown & Brooklyn,Uptown & The Bronx,-73.955589,40.779492,Subway,4 5 6,M,86 St,Lexington Av,IRT,626,397,397
POINT (-73.939892 40.836013),,0,Downtown & Brooklyn,Uptown,-73.939892,40.836013,Subway,C,M,163 St-Amsterdam Av,8th Av - Fulton St,IND,A10,149,149
POINT (-73.950683 40.667883),,0,Flatbush,Manhattan,-73.950683,40.667883,Subway,2 5,Bk,President St-Medgar Evers College,Nostrand,IRT,241,353,353
POINT (-73.867139 40.691324),,0,Manhattan,Jamaica,-73.867139,40.691324,Elevated,J Z,Q,75 St-Elderts Ln,Jamaica,BMT,J17,85,85
POINT (-73.908946 40.662549),,0,New Lots,Manhattan,-73.908946,40.662549,Elevated,3,Bk,Rockaway Av,Eastern Pky,IRT,253,348,348
POINT (-73.944053 40.714565),,0,Canarsie - Rockaway Parkway,Manhattan,-73.944053,40.714565,Subway,L,Bk,Graham Av,Canarsie,BMT,L11,122,122
POINT (-73.995959 40.67358),,0,Church Av - Coney Island,Manhattan - Queens,-73.995959,40.67358,Viaduct,F G,Bk,Smith-9 Sts,6th Av - Culver,IND,F22,238,238
POINT (-74.011056 40.706476),,0,,Brooklyn,-74.011056,40.706476,Subway,J Z,M,Broad St,Jamaica,BMT,M23,107,107
POINT (-73.974574 40.581011),,0,Stillwell Av,Manhattan,-73.974574,40.581011,Elevated,F,Bk,Neptune Av,6th Av - Culver,IND,F39,253,253
POINT (-73.887138 40.873244),,1,Manhattan,Norwood - 205 St,-73.887138,40.873244,Subway,B D,Bx,Bedford Park Blvd,Concourse,IND,D03,211,211
POINT (-73.91924 40.807566),,0,Manhattan,Pelham Bay Park,-73.91924,40.807566,Subway,6,Bx,Brook Av,Pelham,IRT,618,376,376
POINT (-73.997871 40.74104),,0,Downtown,Uptown & The Bronx,-73.997871,40.74104,Subway,1,M,18 St,Broadway - 7Av,IRT,131,321,321
POINT (-73.838591 40.878663),,0,Manhattan,Eastchester - Dyre Av,-73.838591,40.878663,Open Cut,5,Bx,Baychester Av,Dyre Av,IRT,502,443,443
POINT (-73.950426 40.680438),,0,Euclid - Lefferts - Rockaways,Manhattan,-73.950426,40.680438,Subway,A C,Bk,Nostrand Av,8th Av - Fulton St,IND,A46,179,179
POINT (-73.998041 40.745906),,0,Downtown & Brooklyn,Uptown - Queens,-73.998041,40.745906,Subway,C E,M,23 St,8th Av - Fulton St,IND,A30,165,165
POINT (-73.910136 40.8459),,0,Manhattan,Bedford Pk Blvd & 205 St,-73.910136,40.8459,Subway,B D,Bx,174-175 Sts,Concourse,IND,D08,216,216
POINT (-73.992872 40.665414),,0,Bay Ridge - 95 St,Manhattan,-73.992872,40.665414,Subway,R,Bk,Prospect Av,4th Av,BMT,R34,30,30
POINT (-73.844521 40.721691),,1,Manhattan,Jamaica,-73.844521,40.721691,Subway,E F M R,Q,Forest Hills-71 Av,Queens Blvd,IND,G08,261,261
POINT (-73.97823 40.592721),,0,Coney Island,Manhattan,-73.97823,40.592721,Open Cut,N,Bk,86 St,Sea Beach,BMT,N10,79,79
POINT (-73.983849 40.761728),,0,Downtown,Uptown & The Bronx,-73.983849,40.761728,Subway,1,M,50 St,Broadway - 7Av,IRT,126,316,316
POINT (-73.981233 40.577422),,1,,Manhattan,-73.981233,40.577422,Viaduct,D F N Q,Bk,Coney Island-Stillwell Av,Sea Beach / West End / Culver / Brighton,BMT,D43,58,58
POINT (-73.845625 40.754622),,0,Manhattan,Flushing,-73.845625,40.754622,Elevated,7,Q,Mets-Willets Point,Flushing,IRT,702,448,448
POINT (-73.953522 40.689627),,0,Church Av,Queens,-73.953522,40.689627,Subway,G,Bk,Bedford-Nostrand Avs,Crosstown,IND,G33,289,289
POINT (-73.992821 40.742878),,0,Downtown & Brooklyn,Uptown & Queens,-73.992821,40.742878,Subway,F M,M,23 St,6th Av - Culver,IND,D18,228,228
POINT (-73.952343 40.811109),,1,Downtown & Brooklyn,Uptown & The Bronx,-73.952343,40.811109,Subway,A B C D,M,125 St,8th Av - Fulton St,IND,A15,153,153
POINT (-74.006277 40.722854),,0,Downtown,Uptown & The Bronx,-74.006277,40.722854,Subway,1,M,Canal St,Broadway - 7Av,IRT,135,325,325
POINT (-73.85062 40.903125),,0,Manhattan,,-73.85062,40.903125,Elevated,2,Bx,Wakefield-241 St,Lenox - White Plains Rd,IRT,201,416,416
POINT (-73.951277 40.724635),,0,Church Av,Queens,-73.951277,40.724635,Subway,G,Bk,Nassau Av,Crosstown,IND,G28,284,284
POINT (-73.916559 40.68637),,0,Manhattan,Jamaica,-73.916559,40.68637,Elevated,J,Bk,Halsey St,Jamaica,BMT,J29,94,94
POINT (-73.962793 40.635082),,0,Brighton Beach & Coney Island,Manhattan,-73.962793,40.635082,Open Cut,B Q,Bk,Newkirk Plaza,Broadway - Brighton,BMT,D31,47,47
POINT (-73.866256 40.87785),,1,Manhattan,Wakefield - 241 St,-73.866256,40.87785,Elevated,2 5,Bx,Gun Hill Rd,Lenox - White Plains Rd,IRT,208,421,421
POINT (-74.011029 40.710668),,1,Downtown & Brooklyn,Uptown & Queens,-74.011029,40.710668,Subway,R W,M,Cortlandt St,Broadway,BMT,R25,624,21
POINT (-73.86505 40.677044),,0,Lefferts - Rockaways,Manhattan,-73.86505,40.677044,Subway,A,Bk,Grant Av,Liberty Av,IND,A57,189,189
POINT (-73.968916 40.785868),,0,Downtown & Brooklyn,Uptown & The Bronx,-73.968916,40.785868,Subway,B C,M,86 St,8th Av - Fulton St,IND,A20,158,158
POINT (-73.930997 40.744587),,0,Manhattan,Flushing,-73.930997,40.744587,Elevated,7,Q,33 St-Rawson St,Flushing,IRT,716,460,460
POINT (-73.834058 40.668234),,1,Rockaways,Manhattan,-73.834058,40.668234,At Grade,A,Q,Aqueduct Racetrack,Rockaway,IND,H01,196,196
POINT (-73.948959 40.645098),,0,Flatbush,Manhattan,-73.948959,40.645098,Subway,2 5,Bk,Beverly Rd,Nostrand,IRT,245,357,357
POINT (-73.942161 40.669399),,0,New Lots,Manhattan,-73.942161,40.669399,Subway,3,Bk,Kingston Av,Eastern Pky,IRT,249,344,344
POINT (-73.922913 40.706607),,0,Canarsie - Rockaway Parkway,Manhattan,-73.922913,40.706607,Subway,L,Bk,Jefferson St,Canarsie,BMT,L15,126,126
POINT (-73.90774 40.702762),,0,Metropolitan Av,Manhattan,-73.90774,40.702762,Elevated,M,Q,Seneca Av,Myrtle Av,BMT,M06,111,111
POINT (-73.896435 40.816104),,0,Manhattan,Pelham Bay Park,-73.896435,40.816104,Subway,6,Bx,Longwood Av,Pelham,IRT,614,372,372
POINT (-73.905316 40.678334),,0,Euclid - Lefferts - Rockaways,Manhattan,-73.905316,40.678334,Subway,A C,Bk,Broadway Junction,8th Av - Fulton St,IND,A51,621,184
POINT (-73.990568 40.735736),,1,Downtown & Brooklyn,Uptown & Queens,-73.990568,40.735736,Subway,N Q R W,M,14 St-Union Sq,Broadway - Brighton,BMT,R20,602,15
POINT (-73.955161 40.595246),,0,Brighton Beach & Coney Island,Manhattan,-73.955161,40.595246,Open Cut,Q,Bk,Neck Rd,Broadway - Brighton,BMT,D38,53,53
POINT (-73.925831 40.827994),,1,Manhattan,Woodlawn,-73.925831,40.827994,Elevated,4,Bx,161 St-Yankee Stadium,Jerome Av,IRT,414,604,389
POINT (-73.810708 40.70546),,0,Manhattan,179 St,-73.810708,40.70546,Subway,F,Q,Sutphin Blvd,Queens Blvd,IND,F04,257,257
POINT (-73.981824 40.690635),,1,Coney Island - Bay Ridge,Manhattan,-73.981824,40.690635,Subway,B Q R,Bk,DeKalb Av,Broadway - Brighton,BMT,R30,26,26
POINT (-74.028398 40.622687),,1,95 St,Manhattan,-74.028398,40.622687,Subway,R,Bk,86 St,4th Av,BMT,R44,38,38
POINT (-73.93647 40.82388),,0,Downtown & Brooklyn,,-73.93647,40.82388,Subway,3,M,Harlem-148 St,Lenox - White Plains Rd,IRT,301,436,436
POINT (-73.995657 40.744081),,0,Downtown,Uptown & The Bronx,-73.995657,40.744081,Subway,1,M,23 St,Broadway - 7Av,IRT,130,320,320
POINT (-73.933596 40.849505),,0,Downtown,Uptown & The Bronx,-73.933596,40.849505,Subway,1,M,181 St,Broadway - 7Av,IRT,111,301,301
POINT (-73.949046 40.694568),,0,Church Av,Queens,-73.949046,40.694568,Subway,G,Bk,Myrtle-Willoughby Avs,Crosstown,IND,G32,288,288
POINT (-73.985942 40.69218),,1,Bay Ridge - 95 St,Manhattan,-73.985942,40.69218,Subway,R,Bk,Jay St-MetroTech,Broadway,BMT,R29,636,25
POINT (-73.854376 40.898379),,0,Manhattan,Wakefield - 241 St,-73.854376,40.898379,Elevated,2 5,Bx,Nereid Av,Lenox - White Plains Rd,IRT,204,417,417
POINT (-73.961495 40.655292),,0,Brighton Beach & Coney Island,Manhattan,-73.961495,40.655292,Open Cut,Q,Bk,Parkside Av,Broadway - Brighton,BMT,D27,43,43
POINT (-73.896548 40.674542),,0,Euclid Av,Manhattan,-73.896548,40.674542,Subway,C,Bk,Liberty Av,8th Av - Fulton St,IND,A52,185,185
POINT (-73.984264 40.74307),Downtown only,2,Downtown,Uptown & The Bronx,-73.984264,40.74307,Subway,6,M,28 St,Lexington Av,IRT,633,404,404
POINT (-73.987342 40.692338),,1,Euclid - Lefferts - Rockaways - Coney Island,Manhattan,-73.987342,40.692338,Subway,A C F,Bk,Jay St-MetroTech,8th Av - Fulton St,IND,A41,636,174
POINT (-73.954882 40.805085),,0,Downtown & Brooklyn,Uptown & The Bronx,-73.954882,40.805085,Subway,B C,M,116 St,8th Av - Fulton St,IND,A16,154,154
POINT (-73.971046 40.675235),,0,Flatbush - New Lots,Manhattan,-73.971046,40.675235,Subway,2 3,Bk,Grand Army Plaza,Eastern Pky,IRT,237,340,340
POINT (-73.927271 40.865491),,0,Downtown & Brooklyn,207 St,-73.927271,40.865491,Subway,A,M,Dyckman St,8th Av - Fulton St,IND,A03,144,144
POINT (-73.975939 40.576127),,0,Stillwell Av,Manhattan,-73.975939,40.576127,Elevated,F Q,Bk,W 8 St-NY Aquarium,Broadway - Brighton,BMT,D42,57,57
POINT (-73.907684 40.853453),,0,Manhattan,Woodlawn,-73.907684,40.853453,Elevated,4,Bx,Burnside Av,Jerome Av,IRT,409,384,384
POINT (-73.911794 40.84848),,0,Manhattan,Woodlawn,-73.911794,40.84848,Elevated,4,Bx,176 St,Jerome Av,IRT,410,385,385
POINT (-73.986754 40.754672),,1,Downtown & Brooklyn,Uptown & Queens,-73.986754,40.754672,Subway,N Q R W,M,Times Sq-42 St,Broadway - Brighton,BMT,R16,611,11
POINT (-73.827559 40.583209),,0,Rockaway Park,Manhattan,-73.827559,40.583209,Viaduct,A S,Q,Beach 105 St,Rockaway,IND,H14,202,202
POINT (-73.906006 40.752885),,0,Manhattan,Forest Hills,-73.906006,40.752885,Subway,M R,Q,Northern Blvd,Queens Blvd,IND,G16,269,269
POINT (-73.949625 40.802098),,0,Downtown & Brooklyn,Uptown & The Bronx,-73.949625,40.802098,Subway,2 3,M,116 St,Lenox - White Plains Rd,IRT,226,440,440
POINT (-73.884655 40.87975),,0,Manhattan,Woodlawn,-73.884655,40.87975,Elevated,4,Bx,Mosholu Pkwy,Jerome Av,IRT,402,379,379
POINT (-73.975264 40.620769),,0,Coney Island,Manhattan,-73.975264,40.620769,Elevated,F,Bk,Bay Pkwy,6th Av - Culver,IND,F32,247,247
POINT (-73.950275 40.714063),,0,Canarsie - Rockaway Parkway,Manhattan,-73.950275,40.714063,Subway,L,Bk,Lorimer St,Canarsie,BMT,L10,629,121
POINT (-73.855334 40.75173),,0,Manhattan,Flushing,-73.855334,40.75173,Elevated,7,Q,111 St,Flushing,IRT,705,449,449
POINT (-73.932755 40.752882),,0,Manhattan,Astoria - Ditmars Blvd,-73.932755,40.752882,Elevated,N W,Q,39 Av-Dutch Kills,Astoria,BMT,R08,6,6
POINT (-73.966847 40.803967),,0,Downtown,Uptown & The Bronx,-73.966847,40.803967,Subway,1,M,Cathedral Pkwy (110 St),Broadway - 7Av,IRT,118,308,308
POINT (-73.975224 40.760167),,0,Downtown & Brooklyn,Queens,-73.975224,40.760167,Subway,E M,M,5 Av/53 St,Queens Blvd,IND,F12,276,276
POINT (-73.9134 40.839306),,0,Manhattan,Bedford Pk Blvd & 205 St,-73.9134,40.839306,Subway,B D,Bx,170 St,Concourse,IND,D09,217,217
POINT (-73.996786 40.737335),,0,Brooklyn,8 Av,-73.996786,40.737335,Subway,L,M,6 Av,Canarsie,BMT,L02,601,116
POINT (-74.008585 40.714111),,0,Downtown & Brooklyn,Uptown,-74.008585,40.714111,Subway,A C,M,Chambers St,8th Av - Fulton St,IND,A36,624,170
POINT (-73.994659 40.725915),,1,Downtown,Uptown & The Bronx,-73.994659,40.725915,Subway,6,M,Bleecker St,Lexington Av,IRT,637,619,408
POINT (-73.884079 40.666235),,0,,Manhattan,-73.884079,40.666235,Elevated,3,Bk,New Lots Av,Eastern Pky,IRT,257,352,352
POINT (-73.884639 40.679947),,0,Manhattan,Jamaica,-73.884639,40.679947,Elevated,J,Bk,Cleveland St,Jamaica,BMT,J22,89,89
POINT (-73.912034 40.775036),,0,Manhattan,,-73.912034,40.775036,Elevated,N W,Q,Astoria-Ditmars Blvd,Astoria,BMT,R01,1,1
POINT (-73.990173 40.713715),,0,Brooklyn,Uptown & Queens,-73.990173,40.713715,Subway,F,M,East Broadway,6th Av - Culver,IND,F16,234,234
POINT (-73.987691 40.755477),,1,34 St - Hudson Yards,Queens,-73.987691,40.755477,Subway,7,M,Times Sq-42 St,Flushing,IRT,725,611,467
POINT (-73.973022 40.608944),,0,Coney Island,Manhattan,-73.973022,40.608944,Elevated,F,Bk,Avenue P,6th Av - Culver,IND,F34,249,249
POINT (-74.0091 40.706821),,0,Brooklyn,Uptown & The Bronx,-74.0091,40.706821,Subway,2 3,M,Wall St,Clark St,IRT,230,333,333
POINT (-73.916327 40.661453),,0,New Lots,Manhattan,-73.916327,40.661453,Elevated,3,Bk,Saratoga Av,Eastern Pky,IRT,252,347,347
POINT (-73.987437 40.718315),,0,Broad St (JZ) - Uptown (M),Brooklyn,-73.987437,40.718315,Subway,J M Z,M,Delancey St-Essex St,Jamaica,BMT,M18,625,102
POINT (-73.955827 40.680596),,1,Prospect Park,,-73.955827,40.680596,Elevated,S,Bk,Franklin Av,Franklin Shuttle,BMT,S01,627,139
POINT (-73.851222 40.834255),,0,Manhattan,Pelham Bay Park,-73.851222,40.834255,Elevated,6,Bx,Castle Hill Av,Pelham,IRT,607,365,365
POINT (-73.983765 40.588841),,0,Coney Island,Manhattan,-73.983765,40.588841,Elevated,D,Bk,Bay 50 St,West End,BMT,B23,70,70
POINT (-74.074835 40.636949),,0,Tottenville,St George,-74.074835,40.636949,At Grade,SIR,SI,Tompkinsville,Staten Island,SIR,S30,502,502
POINT (-74.16457 40.544601),,0,Tottenville,St George,-74.16457,40.544601,Embankment,SIR,SI,Eltingville,Staten Island,SIR,S18,514,514
POINT (-74.00191 40.755882),,1,,Queens,-74.00191,40.755882,Subway,7,M,34 St-Hudson Yards,Flushing,IRT,726,471,471
POINT (-74.229141 40.519631),,0,Tottenville,St George,-74.229141,40.519631,Open Cut,SIR,SI,Richmond Valley,Staten Island,SIR,S13,519,519
POINT (-74.11721 40.57348),,1,Tottenville,St George,-74.11721,40.57348,Open Cut,SIR,SI,New Dorp,Staten Island,SIR,S22,510,510
POINT (-74.087368 40.596612),,0,Tottenville,St George,-74.087368,40.596612,Embankment,SIR,SI,Old Town,Staten Island,SIR,S26,506,506
POINT (-74.12632 40.56511),,0,Tottenville,St George,-74.12632,40.56511,Open Cut,SIR,SI,Oakwood Heights,Staten Island,SIR,S21,511,511
POINT (-74.217847 40.52241),,0,Tottenville,St George,-74.217847,40.52241,Embankment,SIR,SI,Pleasant Plains,Staten Island,SIR,S14,518,518
POINT (-74.073643 40.643748),,1,Tottenville,,-74.073643,40.643748,Open Cut,SIR,SI,St George,Staten Island,SIR,S31,501,501
POINT (-73.947152 40.784318),,1,Downtown & Brooklyn,,-73.947152,40.784318,Subway,Q,M,96 St,Second Av,IND,Q05,475,475
POINT (-74.09609 40.588849),,1,Tottenville,St George,-74.09609,40.588849,Embankment,SIR,SI,Dongan Hills,Staten Island,SIR,S25,507,507
POINT (-74.084087 40.603117),,0,Tottenville,St George,-74.084087,40.603117,Open Cut,SIR,SI,Grasmere,Staten Island,SIR,S27,505,505
